date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,29.7,27.4,40.4,32.7,31.4,24.9,,28.7,34.7,30.4,27.4,31.6,,34.4,30.4,30.6,,,35.9,,37.3,34.9,35.6,29.2,28.5,27.0,29.7,33.8,36.0,,24.2,28.8
2016-01-01,30.8,27.6,40.6,33.0,32.9,25.4,31.9,28.2,35.8,31.2,27.1,31.9,34.8,35.0,30.9,30.3,32.8,,35.2,,38.4,33.0,34.3,29.1,28.2,28.5,31.2,35.2,34.4,25.2,24.8,29.6
2015-01-01,30.5,27.7,38.6,32.3,34.0,25.9,31.7,28.2,36.2,32.7,27.1,32.7,33.2,36.0,31.1,30.4,31.8,26.8,35.4,,37.4,33.8,34.2,29.4,28.2,27.5,31.8,35.5,35.9,26.5,25.4,29.2
2014-01-01,30.5,28.1,37.4,32.5,35.6,25.9,,28.4,36.1,34.6,26.8,32.3,34.0,35.8,32.1,30.9,31.9,27.8,34.7,,37.7,31.2,35.1,29.0,28.6,26.8,32.8,35.6,36.0,26.1,25.7,28.4
2013-01-01,30.8,27.7,36.6,32.5,37.0,26.5,31.1,28.5,36.2,35.1,27.2,32.5,33.2,36.1,32.0,31.5,33.5,25.4,34.9,,35.3,32.0,35.5,28.8,28.1,26.4,33.1,36.2,36.9,28.1,26.2,28.8
2012-01-01,30.5,27.5,36.0,31.6,34.3,26.1,,27.8,35.4,32.9,27.1,33.1,32.3,36.3,32.5,30.8,33.2,26.8,35.2,,35.1,34.3,35.2,29.4,27.6,25.7,33.0,36.0,36.5,26.1,25.6,27.6
2011-01-01,30.8,28.1,34.3,31.7,32.6,26.4,30.5,27.3,35.7,32.5,27.6,33.3,33.2,34.8,32.3,29.2,32.9,26.8,35.1,,32.5,32.1,35.8,29.1,27.8,25.3,33.2,36.3,35.9,26.5,24.9,27.6
2010-01-01,30.3,28.4,35.7,32.6,31.5,26.6,30.2,27.2,35.2,32.0,27.7,33.7,34.4,34.1,32.4,29.4,32.3,26.2,34.7,,33.6,30.5,35.0,29.0,27.8,25.7,33.2,35.8,35.5,27.3,24.9,27.7
